Comment ID,Rating,Tokens Used,Content,hate_filtered,hate_severity,jailbreak_filtered,jailbreak_detected,jailbreak_severity,self_harm_filtered,self_harm_severity,sexual_filtered,sexual_severity,violence_filtered,violence_severity
1,3,236,"Very few illegals encountered at the border carry any legitimate government issued ID. They simply supply a name, date of birth, and country of origin. About the only thing verifiable on the alien registration document is the processing agent's name. Once in a while the fingerprints will hit if they were previously arrested in America, or their fingerprints/DNA were lifted of IED fragments. However most are just set free in America. They might get vaccinations later, after they are released. We can't make them take vaccinations, because the US only gave liability protection to drug companies for US citizens.FJB, finish the wall, return to enforcing our immigration laws.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,136,The left only cares about its ideology. It doesn't care whether the outcomes of that ideology are devastating and destroy the quality of life of the citizenry.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,146,"These people are traveling around the United States, and none have been vaccinated. So next time you hear of somebody, getting the measles or tuberculosis or polio, you know where it came from!",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,2,127,"Like I keep saying over and over, this country and it's government are a Goddamdisgrace.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,2,109,Treason.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,4,119,"Time to start getting rid of this problem, any way possible.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,2,133,Not homeless. Vagrants.Not migrants. Illegal aliens.Can’t solve the problem until we’re honest about what the problem really is.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,2,139,"The American voter elects these politicians and are now offended? Maybe it’s time they put down the booze, pot and other distractions and study before the next election.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,2,137,"If anyone votes for Biden again , this illegal invasion into our country will continue… only on a larger scale.. Please, vote Republican and stop this insanity ..",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,2,174,"Was on a flight with some of these people. Hugely rude and entitled behavior, pushing in front of the paying customers, ignoring crew instructions, and in one case causing danger to the plane. Not a shred of humility or gratitude; they feel they’re owed it.Tells you everything you need to know about how your government views you.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,2,161,"Why should I be a US citizen and pay taxes.  If I am an illegal alien invader I get ""free"" housing, free health care, I don't have to pay taxes, I can get a driver's license and in some states don't have to pay any tickets.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,2,142,How soon we have put the events of 9/11 on the shelf.Elections have consequences...and less than literate people voting is the result of these 'elections'.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,3,139,"These "" asylum seekers"" destroy their ID before entering the US. They are simply playing the game. Of course this is a perfect situation for criminals and terrorists.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,2,174,"Was on a flight with some of these people. Hugely rude and entitled behavior, pushing in front of the paying customers, ignoring crew instructions, and in one case causing danger to the plane. Not a shred of humility or gratitude; they feel they’re owed it.Tells you everything you need to know about how your government views you.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,2,161,"Why should I be a US citizen and pay taxes.  If I am an illegal alien invader I get ""free"" housing, free health care, I don't have to pay taxes, I can get a driver's license and in some states don't have to pay any tickets.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,2,142,How soon we have put the events of 9/11 on the shelf.Elections have consequences...and less than literate people voting is the result of these 'elections'.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,4,139,"These "" asylum seekers"" destroy their ID before entering the US. They are simply playing the game. Of course this is a perfect situation for criminals and terrorists.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,2,131,They only reason for illegals to be on an any flight in the US is to deport them to their country of origin.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,0,"When one of these so-called migrants blows up a plane with 300 people aboard maybe this nonsense will stop. Biden allowed people into our country who want to kill as many of us as possible. And don't call them migrants, they are illegals.",True,high,False,False,N/A,False,safe,False,safe,False,low
20,1,305,"I love it. Next time I’m going to say I’m an illegal and don’t have any papers and see what they say even though I’m born and raised in SoCal. A few months back I’m in SeaTac for business and this Guatemalan was in the first class/business line. She was lost and the Somalian line checker asked for her ticket and ID and said you speak English,she said no. I do from school so I asked her. She was illegal in Washington and had a Guatemalan drivers license. The best part was she had a piece of paper from tsa allowing her to go through with no ticket to meet her family illegally from Denver. So we  rapped for a few, got her to her gate (on Alaska like me) and there was her husband and 3 kids. She was mucho gracias, her husband, nope. Was a rude bleep. Thank you joey. Keep up the great work and our money👎🏻",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,2,118,Your government hates you! What do you not get?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,2,138,We need to come up with a voting test. If you don’t know history of this country and fail you’re not allowed to vote and must leave immediately,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,2,132,"Evidently, the Government gives More Rights to Illegal Immigrants, than Law Abiding Americans. It's Totally Insane.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,2,138,"""Offended""?? I'd be scared to death to fly with one of these unvetted criminals on board! Offense would the least of my worries.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25,1,111,Joe Biden's America!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,3,194,"When roaches, mice or rats infest your home, you address it and expel them from your property. When that is done, you address the source of the infestation and address that. Then, when you discover who it is that is treating an illegal invader better that they are treating you, a tax-paying citizen, you address that.There is a solution to this problem that it is so simple it makes my fingernail ache.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27,2,122,Vote Trump 2024... he is seriously our only hope at this point.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,1,122,"Next, the nyp will require an ID to post on this site.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,3,147,"if you think about it, none of the 911 attackers were US citizens, yet the patriot act targeted US citizens and stripped us of our rights.  Now this.  what does this tell us?",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,2,122,Why do I need an enhanced ID...I'll just say I'm a migrant.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,2,129,You have the power to vote supporters of mass migration out of office.  Do it before it is too late.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,2,134,"Whomever came up with this should be locked up for life.The plane better be headed in one direction, international southbound flight.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,N/A,0,"So if you are a conservative, 10 forms of ID are required, migrants / TERRORISTS, welcome aboard.",True,medium,False,False,N/A,False,safe,False,safe,False,low
34,2,145,This why I chose to wear a tinfoil hat rather than the blindfolds the rest of you have been wearing for decades.  911 was an inside job.  for sure.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,3,111,All ending next year..,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,1,120,Something to read the next time you take off your belt and shoes...,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,3,122,If the people vote Biden another 4 years we are doomed doomed I say doomed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,2,135,"Yet, people will still vote for Dems, even pining for another Obama as president.""Fundamentally change America,"" well under way.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39,2,122,If the people vote Biden another 4 years we are doomed doomed I say doomed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40,2,135,"Yet, people will still vote for Dems, even pining for another Obama as president.""Fundamentally change America,"" well under way.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
