Comment ID,Rating,Tokens Used,Content,Error Message,,
1,N/A,0,I'm going to fucking kill Joe Biden and his family,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'high'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}}}}",,
2,1,129,"Jim Jordan is a super goober, and wildly inconsistent when it comes to honoring subpoenas. Laughable.",N/A,,
3,2,141,"Corrupt Senility Joe and Heels Up Harris should be removed for dereliction of duty and failure to secure the borders, This will impact the US negatively for generations.",N/A,,
4,4,121,If trump wont fix the mexican crisis I’ll take it into my own hands,N/A,,
5,1,138,"Biden is completely unaware of what’s going on at the border. Harris is clueless as well. Furthermore, neither cares unless it affects their political agenda.",N/A,,
6,2,120,"ILLEGAL ALIENS is the correct term, not migrants!",N/A,,
7,2,132,The border invasion is going as planned and is on track for the Democrats' plan to turn Texas blue. It is disgusting.,N/A,,
8,N/A,0,This is our new replacements. Notice how they are trying to fix up boarded buildings in Chicago for these illegals but never ONCE did they fix it up to help out black citizens. The dems can't control the majority of people so they will replace us for people they can control. This is part of the communist plan,"'content_filter_result': {'hate': {'filtered': True, 'severity': 'high'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",,
9,2,154,get ready nyc they are coming!. maybe next year we will have to haul our own garbage to the dump. not going to be any money left for services. the illegals laundry service bill going to ballon to 3 mil a week,N/A,,
10,2,133,The Dem's plan is to change the country irreversibly over a generation and claim a seat of power that can't be challenged.,N/A,,
11,2,140,and the muppet was just calling Abbott inhumane today for trying to stop this madness. but don't worry the dems will say they are trying to stop it!,N/A,,
